time,cpu_usage,memory_usage,cpu_interrupts,cpu_calls,memory_used,memory_free,bytes_sent,bytes_received,disk_usage,gpu_utilization,gpu_memory,gpu_temperature,power_consumption
2024-09-13 13:56:51.174471,4.7,80.0,600959263,420721160,6570377216,1644683264,9254518,141654470,84.6,,,,
2024-09-13 13:57:07.865484,5.2,80.9,601036250,420763998,6646910976,1568149504,9254839,141654678,84.6,,,,
2024-09-13 13:57:24.603597,5.3,80.3,601087594,420806710,6599766016,1615294464,9255775,141655622,84.6,,,,
2024-09-13 13:57:40.325366,4.6,80.3,601137419,420836333,6600708096,1614352384,9256175,141657327,84.6,,,,
2024-09-13 13:57:56.090406,5.0,80.3,601183763,420864457,6600495104,1614565376,9256529,141660067,84.6,,,,
2024-09-13 13:58:12.818058,5.5,79.9,601263784,420910657,6561366016,1653694464,9258497,141664347,84.6,,,,
2024-09-13 13:58:29.529457,5.3,79.9,601318802,420943390,6560104448,1654956032,9258837,141665432,84.6,,,,
2024-09-13 13:58:45.289638,4.9,79.3,601403745,420992344,6515286016,1699774464,9259175,141666381,84.6,,,,
2024-09-13 13:59:01.041318,5.3,78.8,601482901,421037892,6472052736,1743007744,9261226,141667805,84.6,,,,
2024-09-13 13:59:17.788813,4.5,78.6,601537295,421070170,6460350464,1754710016,9267283,141682787,84.6,,,,
2024-09-13 13:59:33.521821,13.5,82.3,601814768,421263588,6764896256,1450164224,9375710,141916416,84.6,,,,
2024-09-13 13:59:49.254468,10.5,83.6,602072838,421420216,6871003136,1344057344,9601424,142639754,84.6,,,,
2024-09-13 14:00:04.995371,5.1,83.5,602161204,421473719,6861897728,1353162752,9605648,142651064,84.5,,,,
2024-09-13 14:00:21.757507,6.6,84.1,602236538,421521865,6910251008,1304809472,9610180,142660701,84.5,,,,
2024-09-13 14:00:37.514490,10.5,84.8,602370296,421610133,6963216384,1251844096,9708451,142762044,84.5,,,,
2024-09-13 14:00:53.252902,14.3,85.3,602611336,421777390,7004205056,1210855424,9737558,142992492,84.5,,,,
2024-09-13 14:01:08.967892,8.2,85.5,602786832,421881480,7024181248,1190879232,9752981,143016880,84.5,,,,
2024-09-13 14:01:25.665780,6.0,88.5,602945748,421974194,7268462592,946597888,9755978,143026627,84.5,,,,
2024-09-13 14:01:41.407871,16.9,91.0,603323539,422216054,7477993472,737067008,10208261,143740087,84.5,,,,
2024-09-13 14:01:57.157461,8.6,86.9,603634089,422397775,7142633472,1072427008,10333480,143770938,84.5,,,,
2024-09-13 14:02:13.866745,5.5,84.5,603799469,422494155,6943387648,1271672832,10339874,143779473,84.5,,,,
2024-09-13 14:02:30.827079,25.9,84.1,604164911,422696656,6911946752,1303113728,10360142,143787105,84.5,,,,
2024-09-13 14:02:46.524793,5.1,84.5,604242148,422743214,6942146560,1272913920,10360990,143789093,84.5,,,,
2024-09-13 14:03:02.263555,4.7,84.1,604292755,422770941,6905122816,1309937664,10362043,143789438,84.5,,,,
2024-09-13 14:03:18.019485,4.2,83.8,604346263,422798242,6882308096,1332752384,10362206,143789822,84.5,,,,
2024-09-13 14:03:34.772013,4.5,84.1,604423552,422840374,6905761792,1309298688,10366745,143793488,84.5,,,,
2024-09-13 14:03:50.501495,5.2,82.6,604525468,422894733,6784462848,1430597632,10366800,143793824,84.5,,,,
2024-09-13 14:04:06.218445,5.1,82.5,604576234,422921811,6776934400,1438126080,10371095,143803016,84.5,,,,
2024-09-13 14:04:21.958473,3.7,82.4,604624380,422948225,6772789248,1442271232,10377413,143811133,84.5,,,,
2024-09-13 14:04:38.719831,5.3,82.5,604692658,422987128,6776545280,1438515200,10392216,143838148,84.5,,,,
2024-09-13 14:04:54.447080,3.8,82.6,604763858,423023861,6782803968,1432256512,10401144,143840312,84.5,,,,
2024-09-13 14:05:10.155941,8.1,84.8,604902013,423116749,6969888768,1245171712,10442584,144044661,84.5,,,,
2024-09-13 14:05:26.856313,5.4,85.5,605006796,423175143,7021084672,1193975808,10458911,144051092,84.5,,,,
2024-09-13 14:05:43.583047,7.5,84.5,605125234,423241656,6943625216,1271435264,10459984,144052602,84.5,,,,
2024-09-13 14:05:59.278352,7.5,84.9,605305399,423347311,6975492096,1239568384,10479612,144068549,84.5,,,,
2024-09-13 14:08:23.798395,42.4,87.2,607287048,424494270,7165771776,1049288704,10694051,144377769,84.6,,,,
2024-09-13 14:08:39.520420,5.2,84.0,607386252,424553457,6899859456,1315201024,10710232,144402291,84.5,,,,
2024-09-13 14:08:55.242959,7.0,85.8,607620157,424716716,7047282688,1167777792,10761617,144417507,84.5,,,,
2024-09-13 14:09:10.930961,14.8,94.3,608125814,425056775,7749296128,465764352,11362861,144835506,84.5,,,,
2024-09-13 14:09:27.649364,5.2,95.3,608489506,425330584,7829782528,385277952,11441842,145004176,84.5,,,,
2024-09-13 14:09:43.339269,5.9,93.9,609017657,425710082,7714459648,500600832,11550250,145287430,84.5,,,,
2024-09-13 14:09:59.072787,6.9,92.4,609534530,426093441,7593795584,621264896,11574709,145366240,84.5,,,,
2024-09-13 14:10:15.790999,5.6,91.3,610062414,426482518,7503253504,711806976,11642548,145457020,84.6,,,,
2024-09-13 14:10:31.390179,5.5,92.1,610602624,426891022,7568637952,646422528,11650733,145469574,84.6,,,,
